  0.0000   0.0000   1.0000
  0.1250   0.0000   0.8750
  0.2500   0.0000   0.7500
  0.3750   0.0000   0.6250
  0.5000   0.0000   0.5000
  0.6250   0.0000   0.3750
  0.7500   0.0000   0.2500
  0.8750   0.0000   0.1250
  1.0000   0.0000   0.0000

  0.0000   0.1250   0.8750
  0.1250   0.1250   0.7811
  0.2500   0.1250   0.6873
  0.3750   0.1250   0.5935
  0.5000   0.1250   0.4998
  0.6250   0.1250   0.4060
  0.7500   0.1250   0.3124
  0.8750   0.1250   0.2187
  1.0000   0.1250   0.1250

  0.0000   0.2500   0.7500
  0.1250   0.2500   0.6873
  0.2500   0.2500   0.6247
  0.3750   0.2500   0.5621
  0.5000   0.2500   0.4996
  0.6250   0.2500   0.4371
  0.7500   0.2500   0.3747
  0.8750   0.2500   0.3124
  1.0000   0.2500   0.2500

  0.0000   0.3750   0.6250
  0.1250   0.3750   0.5935
  0.2500   0.3750   0.5621
  0.3750   0.3750   0.5307
  0.5000   0.3750   0.4995
  0.6250   0.3750   0.4683
  0.7500   0.3750   0.4372
  0.8750   0.3750   0.4061
  1.0000   0.3750   0.3750

  0.0000   0.5000   0.5000
  0.1250   0.5000   0.4998
  0.2500   0.5000   0.4996
  0.3750   0.5000   0.4995
  0.5000   0.5000   0.4995
  0.6250   0.5000   0.4996
  0.7500   0.5000   0.4997
  0.8750   0.5000   0.4998
  1.0000   0.5000   0.5000

  0.0000   0.6250   0.3750
  0.1250   0.6250   0.4060
  0.2500   0.6250   0.4371
  0.3750   0.6250   0.4683
  0.5000   0.6250   0.4996
  0.6250   0.6250   0.5309
  0.7500   0.6250   0.5622
  0.8750   0.6250   0.5936
  1.0000   0.6250   0.6250

  0.0000   0.7500   0.2500
  0.1250   0.7500   0.3124
  0.2500   0.7500   0.3747
  0.3750   0.7500   0.4372
  0.5000   0.7500   0.4997
  0.6250   0.7500   0.5622
  0.7500   0.7500   0.6248
  0.8750   0.7500   0.6874
  1.0000   0.7500   0.7500

  0.0000   0.8750   0.1250
  0.1250   0.8750   0.2187
  0.2500   0.8750   0.3124
  0.3750   0.8750   0.4061
  0.5000   0.8750   0.4998
  0.6250   0.8750   0.5936
  0.7500   0.8750   0.6874
  0.8750   0.8750   0.7812
  1.0000   0.8750   0.8750

  0.0000   1.0000   0.0000
  0.1250   1.0000   0.1250
  0.2500   1.0000   0.2500
  0.3750   1.0000   0.3750
  0.5000   1.0000   0.5000
  0.6250   1.0000   0.6250
  0.7500   1.0000   0.7500
  0.8750   1.0000   0.8750
  1.0000   1.0000   1.0000

